用户账号（ID）,商品名称,商品类型,商品介绍,商品ID
510250,菲诺椰汁,酒水饮料,新兴品牌，主打低糖低卡健康理念，口感清爽，适合追求健康生活的年轻人,20232024315
510250,伊利舒化奶（低脂型）,乳品烘焙,零乳糖，低脂健康，适合关注健康和体重管理的人群,20232024147
510250,浣馨气垫压花面巾纸,日用清洁,加厚设计，独特的气垫压花工艺，细腻舒适，印花设计增加使用乐趣,20232024257
510250,麻辣王子无添加辣条,休闲零食,坚持无添加剂原则，让消费者吃得放心，符合现代人对健康食品的追求，适合注重食品安全的消费者。,20232024038
510250,椰树牌椰汁,酒水饮料,国内知名品牌，口感浓郁，富含营养，适合喜欢椰奶口感的消费者,20232024311
510250,绣球花,水果鲜花,饱满的花形和丰富的色彩，象征圆满、幸福、吉祥,20232024296
363796,周黑鸭鸭胸肉,熟食卤味,肉质鲜嫩多汁，口感细腻，是健康美味的肉类零食,20232024338
363796,周黑鸭鸭架,熟食卤味,肉质鲜嫩，口感酥脆，是下酒好菜，也是追剧零食,20232024336
363796,周黑鸭鸭肠,熟食卤味,清洗彻底，口感脆爽，辣中带甜，是下酒好菜,20232024333
363796,福佳白啤,酒水饮料,经典小麦啤酒，加了芫荽和陈皮进行二次发酵，香气浓郁，酸甜果香与清爽口感相得益彰,20232024319
363796,乐事无限系列翡翠黄瓜味薯片,休闲零食,黄瓜味清新，口感酥脆,20232024113
363796,卫龙香辣棒,休闲零食,口感酥脆，越吃越香,20232024022
363796,青岛哈舅联名14度白啤酒,酒水饮料,高酒精度，带来更浓郁的口感和更强烈的酒感体验，精酿工艺，小麦啤酒，具有清新的麦香和丰富的口感,20232024325
363796,伊利臻浓牛奶（mini迷你装）,乳品烘焙,小巧便携，浓郁口感，适合作为零食或下午茶,20232024163
363796,乐事无限系列忠于原味薯片,休闲零食,经典原味，口感酥脆，回味无穷,20232024114
363796,乐事无限系列嗞嗞烤肉味薯片,休闲零食,烤肉味香浓，口感酥脆,20232024112
